,'1/00,'2/00,'3/00,'4/00,'5/00,'6/00,'7/00,'8/00,'9/00,'10/00,'11/00,'12/00,'1/01,'2/01,'3/01,'4/01,'5/01,'6/01,'7/01,'8/01,'9/01,'10/01,'11/01,'12/01,'1/02,'2/02,'3/02,'4/02,'5/02,'6/02,'7/02,'8/02,'9/02,'10/02,'11/02,'12/02,'1/03,'2/03,'3/03,'4/03,'5/03,'6/03,'7/03,'8/03,'9/03,'10/03,'11/03,'12/03,'1/04,'2/04,'3/04,'4/04,'5/04,'6/04,'7/04,'8/04,'9/04,'10/04,'11/04,'12/04,'1/05,'2/05,'3/05,'4/05,'5/05,'6/05,'7/05,'8/05,'9/05,'10/05,'11/05,'12/05,'1/06,'2/06,'3/06,'4/06,'5/06,'6/06,'7/06,'8/06,'9/06,'10/06,'11/06,'12/06,'1/07,'2/07,'3/07,'4/07,'5/07,'6/07,'7/07,'8/07,'9/07,'10/07,'11/07,'12/07,'1/08,'2/08,'3/08,'4/08,'5/08,'6/08,'7/08,'8/08,'9/08,'10/08,'11/08,'12/08,'1/09,'2/09,'3/09,'4/09,'5/09,'6/09,'7/09,'8/09,'9/09,'10/09,'11/09,'12/09,'1/10,'2/10,'3/10,'4/10,'5/10,'6/10,'7/10,'8/10,'9/10,'10/10,'11/10,'12/10,'1/11,'2/11,'3/11,'4/11,'5/11,'6/11,'7/11,'8/11,'9/11,'10/11,'11/11,'12/11,'1/12,'2/12,'3/12,'4/12,'5/12,'6/12,'7/12,'8/12,'9/12,'10/12,'11/12,'12/12,'1/13,'2/13,'3/13,'4/13,'5/13,'6/13,'7/13,'8/13,'9/13,'10/13,'11/13,'12/13,'1/14,'2/14,'3/14,'4/14,'5/14,'6/14,'7/14,'8/14,'9/14,'10/14,'11/14,'12/14,'1/15,'2/15,'3/15,'4/15,'5/15,'6/15,'7/15,'8/15,'9/15,'10/15,'11/15,'12/15,'1/16,'2/16,'3/16,'4/16,'5/16,'6/16,'7/16,'8/16,'9/16,'10/16,'11/16,'12/16,'1/17,'2/17,'3/17,'4/17,'5/17,'6/17,'7/17,'8/17,'9/17,'10/17,'11/17,'12/17,'1/18,'2/18,'3/18,'4/18,'5/18,'6/18,'7/18,'8/18,'9/18,'10/18,'11/18,'12/18,'1/19,'2/19,'3/19,'4/19,'5/19,'6/19,'7/19,'8/19,'9/19,'10/19,'11/19,'12/19,'1/20,'2/20,'3/20,'4/20,'5/20,'6/20,'7/20,'8/20,'9/20,'10/20,'11/20,'12/20,'1/21,'2/21,'3/21,'4/21,'5/21,'6/21,'7/21,'8/21,'9/21,'10/21,'11/21,'12/21
0,8,9,6,11,20,26,10,0,0,10,14,32,20,18,18,3,10,31,45,32,23,28,8,29,4,0,22,5,13,25,12,29,5,59,15,115,5,7,17,26,12,25,11,32,7,10,14,83,13,18,15,8,19,11,17,40,23,15,33,177,52,10,25,16,178,17,43,51,31,30,54,88,28,47,42,60,42,40,67,44,40,43,40,72,75,58,75,58,68,77,59,64,51,43,57,5,33,55,50,55,38,30,39,39,70,52,38,46,36,45,49,65,32,49,57,76,70,51,37,27,18,58,78,30,57,58,28,69,44,47,50,53,83,31,73,26,55,40,55,47,35,72,37,38,35,48,53,57,83,69,47,88,50,39,71,35,31,68,60,43,54,51,71,51,82,79,52,65,51,68,69,90,77,55,57,48,81,51,70,88,68,55,71,49,56,64,55,95,60,58,52,70,99,62,59,109,122,66,55,67,103,59,25,75,106,138,267,204,121,144,283,195,216,168,97,102,80,105,134,73,106,89,90,66,119,55,78,108,36,74,70,51,51,57,74,90,49,57,111,68,85,72,58,29,39,69,30,29,52,41,30,53,47,44,46,64,74,64,79,79,106,39,77,79
1,2,1,0,1,1,10,2,0,0,6,1,7,10,4,1,2,2,3,9,11,10,7,3,6,1,1,4,1,4,1,5,11,6,12,3,25,0,1,5,2,3,2,1,8,0,2,3,11,1,2,1,2,1,2,7,6,3,7,5,37,11,1,4,4,30,3,6,3,7,11,9,28,5,9,15,15,8,10,9,13,9,3,6,11,4,20,13,9,5,9,17,12,10,9,9,1,5,7,7,8,9,3,5,6,7,9,10,7,7,9,9,9,4,3,3,7,6,6,4,3,2,7,4,3,2,4,2,12,2,9,5,8,8,5,3,2,3,4,4,10,4,7,2,6,4,3,3,6,8,13,4,15,6,3,9,13,7,7,15,11,6,5,12,10,7,16,14,10,8,6,17,17,14,3,6,7,7,15,15,11,7,7,11,11,6,11,3,16,8,14,5,13,8,10,4,24,8,15,6,4,16,8,19,39,43,36,37,39,45,40,51,43,43,68,67,39,65,82,74,58,83,257,94,79,51,62,60,73,66,54,71,100,63,67,146,109,109,96,114,86,116,96,105,131,78,103,116,93,158,115,98,180,120,113,196,129,174,201,96,193,125,133,132,166
2,3,8,4,6,8,8,7,0,0,14,4,24,14,13,9,0,12,19,11,9,9,3,6,17,2,0,3,0,6,6,8,15,2,17,3,64,2,2,4,13,8,11,0,12,2,7,6,49,7,7,13,16,8,1,8,16,5,5,23,153,20,9,21,18,196,63,54,49,53,36,124,233,75,87,112,132,143,190,116,169,180,202,175,186,138,123,182,166,140,89,120,92,84,101,80,5,125,147,78,94,108,145,129,87,92,138,87,126,97,253,125,98,76,73,89,93,141,48,42,68,63,42,118,81,87,62,83,14,26,8,18,39,21,26,13,22,12,4,14,11,25,87,83,41,17,39,12,7,18,11,28,55,39,53,20,12,14,8,11,8,18,14,24,26,12,17,21,36,34,17,46,31,35,27,34,41,18,53,41,45,55,38,26,10,25,32,16,17,26,24,8,10,8,6,1,19,7,8,11,11,7,26,20,8,35,29,71,53,29,34,64,56,92,88,38,122,100,88,49,55,56,106,45,57,85,60,85,66,49,63,81,37,64,73,75,136,88,109,43,55,90,92,85,83,25,46,55,49,74,36,38,75,59,66,68,74,60,78,76,119,93,75,77,96
3,2,13,0,3,3,2,1,0,0,3,2,7,2,2,1,0,2,4,6,2,4,5,0,8,0,2,4,4,9,3,8,9,2,14,1,47,0,0,2,4,1,4,0,4,1,2,0,39,3,0,11,11,7,4,4,8,3,6,6,66,11,4,10,4,88,17,23,26,12,13,20,50,12,16,20,16,28,27,25,11,33,11,16,50,37,14,34,15,28,31,13,12,24,15,10,2,12,8,15,14,4,12,14,14,16,12,15,21,23,36,22,20,13,28,21,29,30,16,11,14,5,15,26,18,20,21,12,9,20,15,28,17,17,12,14,18,9,15,10,14,139,16,10,20,29,8,14,15,19,28,29,49,33,21,69,21,21,20,44,33,27,19,37,26,37,36,26,25,42,35,33,35,39,29,44,34,751,740,35,30,36,31,28,48,24,35,22,49,55,52,38,53,37,39,46,55,71,68,125,98,73,72,43,18,23,52,55,78,54,90,37,42,42,53,34,46,53,50,57,40,32,46,45,44,35,34,30,41,24,24,27,57,49,56,37,49,42,46,73,41,50,66,48,61,42,56,45,30,48,42,59,46,54,59,45,46,54,91,58,71,57,51,58,54
4,7,8,9,9,16,15,12,0,0,13,13,15,19,11,7,0,20,27,14,18,12,16,3,27,2,1,16,12,20,12,14,38,18,45,12,98,12,7,20,17,16,27,10,33,12,20,21,62,9,7,21,11,5,6,16,38,10,19,27,118,84,16,21,12,125,20,19,26,26,34,37,76,25,25,34,31,55,28,41,51,31,30,50,69,35,35,77,69,72,51,61,50,51,67,46,1,45,48,42,56,27,39,29,25,35,46,34,35,37,30,43,49,50,25,40,30,38,29,29,47,8,18,37,18,40,34,12,37,15,16,15,25,55,49,9,13,30,27,11,17,19,9,12,19,14,23,7,17,14,30,38,53,29,13,16,7,32,11,14,14,12,43,6,13,15,24,31,46,24,27,33,27,24,20,17,8,17,22,33,30,21,29,27,19,18,13,14,23,38,18,16,25,26,10,14,34,31,22,20,23,36,21,18,42,119,55,120,98,91,82,94,148,140,77,70,80,67,80,113,360,86,121,597,88,157,132,89,108,78,105,56,65,94,92,165,89,74,82,108,149,117,64,103,148,47,113,54,44,106,28,97,78,89,95,72,106,227,114,80,189,152,100,116,89
5,0,0,0,1,0,1,1,0,0,0,0,1,0,0,3,0,0,3,2,0,0,1,3,4,0,0,0,1,1,1,0,1,0,0,0,5,0,0,1,0,1,0,0,0,0,1,0,5,0,1,0,1,0,1,2,2,0,1,0,20,3,1,1,1,12,1,0,2,4,3,3,4,3,2,2,3,4,2,3,1,1,5,5,4,6,2,3,3,2,2,1,6,6,6,4,0,2,7,7,2,1,3,2,2,1,3,0,5,2,0,2,2,4,2,1,3,3,0,0,1,0,0,1,2,3,2,1,0,0,2,3,0,2,0,3,0,1,3,0,0,0,0,3,2,1,3,1,1,1,2,6,2,2,0,4,2,10,1,14,0,0,3,3,2,1,6,1,4,1,0,2,3,1,3,5,3,3,2,4,3,2,4,2,1,1,2,1,0,2,3,1,2,3,7,1,7,4,8,3,2,5,16,14,30,72,38,54,111,42,64,108,172,97,57,83,148,67,187,73,147,59,50,225,51,59,159,113,84,136,69,48,45,264,174,75,219,331,121,80,95,72,115,138,64,75,271,80,88,179,128,99,126,73,134,97,82,53,178,88,133,125,110,68,217
6,2,3,2,4,1,5,1,1,0,4,1,5,2,2,4,0,1,5,4,1,2,6,1,6,1,1,0,4,4,1,5,3,0,13,1,18,1,1,2,1,0,2,1,1,1,2,1,6,1,4,4,3,0,2,1,6,1,5,3,24,9,4,2,2,15,5,5,6,7,5,7,13,7,7,8,5,12,7,9,7,8,6,2,13,14,10,10,11,12,9,23,8,11,15,5,1,3,14,6,10,3,7,7,6,3,7,6,7,13,8,12,18,9,3,15,9,11,2,7,8,8,10,7,9,8,6,5,6,7,6,4,16,11,7,5,4,11,2,16,9,8,9,6,6,10,15,51,4,11,10,17,33,17,6,17,9,35,16,16,11,16,14,17,21,17,26,18,17,25,25,23,21,28,17,23,14,12,20,23,23,20,15,21,18,12,20,24,26,20,27,12,24,38,22,11,30,10,41,26,11,37,27,15,8,20,59,48,48,35,45,29,55,53,32,45,34,63,66,87,70,55,117,64,67,53,53,46,61,29,30,67,102,79,69,80,106,87,101,115,88,108,100,135,89,62,75,58,74,85,44,87,109,82,104,97,100,69,89,119,84,91,94,88,75
7,3,0,0,0,2,0,0,0,0,1,0,3,0,3,0,2,1,2,1,3,3,2,1,3,0,0,2,0,0,0,4,4,0,3,1,2,0,2,1,1,0,1,0,3,0,1,1,2,0,3,2,3,1,10,3,4,2,0,8,8,8,0,1,2,16,6,3,6,0,7,5,14,11,5,11,5,8,9,14,10,4,11,4,17,16,6,6,8,19,12,6,12,3,3,2,0,1,17,11,12,6,10,6,23,9,14,2,29,3,10,8,16,15,30,15,11,8,29,16,12,10,21,15,28,6,34,6,41,10,34,12,31,4,31,7,46,6,36,23,21,13,18,11,15,9,22,8,13,28,14,12,12,6,9,12,7,13,43,13,12,42,26,32,18,44,27,20,17,6,35,25,13,12,63,31,39,40,23,32,26,12,63,60,38,43,43,82,63,50,76,52,74,20,37,58,41,46,39,89,28,79,41,59,39,11,9,108,53,68,104,60,55,83,75,55,36,60,68,77,82,70,48,53,65,65,53,62,46,60,11,74,153,74,87,81,94,80,55,82,49,71,105,109,118,114,125,128,124,130,85,77,45,78,34,64,88,30,42,84,35,55,53,51,62
8,2,2,0,1,3,0,2,0,0,3,0,6,5,1,1,1,2,4,7,8,2,17,3,14,0,1,7,4,13,11,13,25,4,29,8,108,2,3,5,8,5,18,4,18,3,10,6,52,3,8,11,12,7,0,11,21,9,10,10,153,30,7,25,18,190,36,38,46,47,29,77,222,82,84,128,135,125,183,75,70,81,54,76,96,75,75,69,73,75,97,72,60,53,75,54,3,77,85,92,53,76,52,75,52,47,70,42,43,38,88,75,78,44,82,58,68,85,49,49,90,50,31,77,56,66,77,45,33,47,24,27,46,31,33,21,30,26,23,22,32,51,60,59,52,40,64,35,27,44,49,63,127,116,78,55,39,45,39,57,27,42,42,66,77,58,38,62,100,77,72,106,84,73,76,175,55,65,127,61,98,149,75,60,73,54,95,52,64,67,43,30,29,56,49,16,45,29,29,36,32,43,41,13,33,55,48,73,72,46,42,62,75,82,69,49,82,70,80,82,70,52,86,52,48,74,43,44,82,48,50,71,36,51,47,70,160,66,89,105,66,119,76,156,58,42,58,49,57,65,53,37,69,64,47,91,98,91,83,137,198,154,169,117,137
9,0,0,0,1,1,1,0,0,0,2,1,2,1,3,0,2,0,2,3,6,1,1,1,5,0,0,0,0,1,0,2,1,1,5,1,12,1,1,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,1,3,1,1,4,9,2,2,1,0,6,1,1,1,0,3,2,7,5,2,1,5,0,1,4,0,4,1,0,3,1,3,2,2,3,4,3,2,2,1,1,0,1,2,4,1,8,4,1,0,14,1,1,0,2,6,2,4,1,3,5,3,3,0,0,1,1,0,0,0,0,6,0,11,2,0,1,0,5,11,3,0,3,3,2,0,1,5,0,1,0,2,8,2,4,2,4,8,3,8,0,4,3,1,6,18,6,7,3,3,6,16,4,3,1,3,8,9,7,3,1,4,5,9,6,3,8,13,7,6,5,6,18,6,7,9,11,5,10,7,7,8,14,13,8,12,18,33,23,69,30,75,49,95,65,79,65,46,56,75,139,46,54,98,130,79,68,83,108,60,36,139,41,84,62,47,106,98,104,72,75,153,83,102,90,115,103,89,96,120,97,109,109,85,137,142,110,102,184,150,142,157,103,145,105,99,179,133,122,74
10,6,7,7,8,15,11,7,1,0,11,12,16,13,7,10,0,5,16,17,23,13,11,7,24,2,1,6,2,10,11,19,26,3,15,3,78,3,4,15,12,3,12,4,13,1,10,6,34,8,9,6,6,4,3,6,21,8,6,15,82,10,8,8,5,58,11,22,16,19,14,19,29,10,17,19,14,20,16,16,17,12,12,10,26,14,23,41,21,11,21,18,31,12,25,19,2,18,13,37,9,10,8,21,23,24,16,19,16,17,38,34,33,14,26,8,52,28,11,17,29,15,25,19,30,12,22,12,15,18,15,10,27,12,17,38,16,13,15,13,19,11,9,19,33,12,25,15,13,16,36,45,55,48,28,28,19,27,15,36,22,11,15,19,23,26,34,19,31,37,37,26,43,52,30,24,29,23,43,45,69,56,31,29,59,29,55,29,32,32,27,27,29,34,25,9,32,28,24,27,16,30,13,9,12,42,35,60,70,53,54,58,60,45,79,51,55,68,61,61,63,44,88,57,64,60,36,52,69,48,35,57,48,56,55,92,104,64,67,79,94,97,71,81,86,61,86,77,70,74,58,63,75,58,93,66,68,66,75,76,117,75,66,80,136
11,8,9,5,9,11,8,5,0,0,8,2,19,13,11,4,1,5,16,12,19,16,8,6,34,2,1,5,2,16,6,19,15,2,31,2,78,2,5,11,7,6,4,1,10,0,3,4,42,3,5,11,6,0,1,4,9,6,5,7,59,8,6,7,5,55,7,15,16,18,7,20,42,17,25,22,13,26,15,18,16,17,12,11,23,26,15,20,27,18,26,21,25,16,14,13,1,17,12,36,15,14,13,20,18,32,18,16,23,24,23,27,31,33,18,21,19,19,4,10,22,10,14,15,15,18,16,7,13,11,12,14,15,12,20,9,9,20,10,5,17,6,11,5,27,8,9,7,8,5,22,23,30,26,12,24,22,7,5,18,16,12,19,15,22,26,28,18,21,21,28,24,39,40,31,31,23,25,50,24,42,19,21,13,20,15,28,20,30,19,23,24,31,27,25,5,27,18,26,17,22,30,19,10,22,33,50,94,75,43,76,72,71,80,92,67,60,81,65,111,91,91,102,141,111,97,93,61,84,85,74,113,184,100,103,181,312,198,152,152,133,145,136,145,128,87,149,108,100,128,105,114,149,109,117,112,113,152,134,113,155,103,123,150,134
12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,2,2,1,0,0,1,0,0,1,2,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,2,1,3,3,1,1,4,0,4,0,0,0,0,4,2,0,1,0,0,1,6,2,1,3,12,0,1,1,0,1,8,4,15,7,1,5,3,2,3,3,2,2,3,3,9,12,3,9,3,1,8,1,15,0,3,1,10,4,31,24,109,230,79,165,152,20,87,25,17,99,98,51,40,49,43,159,35,105,63,51,59,98,48,58,83,62,97,198,64,62,75,91,59,100,53,291,56,82,185,606,57,302,62,64,102,320,64,241,112,86,95,230,51,60,42,248,290,126,72,276,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,3,0,1,2,1,0,0,0,1,0,2,1,0,0,0,0,2,0,2,0,21,1,0,2,3,0,1,0,1,1,1,3,10,0,0,11,2,4,1,2,11,0,1,0,63,1,0,4,8,25,5,8,14,11,4,54,58,57,33,33,51,30,19,48,39,45,86,44,71,67,37,57,67,45,39,70,40,38,89,50,3,40,30,32,46,28,30,96,26,33,69,32,61,40,54,57,75,15,26,69,44,80,68,42,50,37,26,37,121,30,81,82,45,43,162,44,31,91,84,63,80,70,79,81,55,42,118,32,36,93,56,91,28,116,47,89,75,84,169,48,27,110,112,53,159,36,71,124,35,34,143,48,39,147,22,59,155,44,29,112,28,38,181,49,48,167,32,39,108,68,29,258,75,47,214,28,129,233,41,62,115,141,88,234,22,50,244,7,12,35,14,24,30,14,15,7,30,11,26,6,7,7,17,13,12,12,11,5,1,12,10,6,8,18,4,2,10,18,10,12,11,10,6,16,14,17,15,21,6,11,13,4,4,7,4,12,6,19,13,11,11,11,11,6,5,8,13,15,6
14,0,1,0,1,0,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,3,0,0,3,0,0,0,1,0,1,8,0,7,0,1,15,1,0,7,0,0,18,1,0,6,0,1,5,0,0,8,0,0,4,1,0,6,2,1,5,0,1,6,0,1,6,1,1,2,2,0,8,1,0,12,1,0,19,0,0,17,0,1,7,1,0,235,2,1,200,7,5,5,249,0,188,9,4,177,5,4,145,38,92,215,6,4,190,10,5,158,4,6,163,5,4,164,10,9,147,7,5,208,5,4,240,3,10,220,16,5,165,4,5,145,6,5,183,4,17,138,3,9,148,10,10,,,,,,,,,,,,
15,1,0,0,0,1,1,0,0,0,2,1,1,0,2,0,0,0,3,4,1,2,1,0,3,1,0,2,2,1,1,0,2,5,5,3,12,0,2,0,3,0,3,3,7,1,3,5,8,0,3,4,3,1,0,2,5,2,1,2,16,7,0,5,3,22,2,6,7,7,3,8,6,2,5,5,17,8,11,12,13,15,9,13,12,4,23,10,6,17,14,7,18,5,7,8,1,4,13,11,14,7,12,11,5,7,10,13,9,4,5,7,8,3,22,4,5,7,7,4,13,0,6,9,12,6,18,17,10,11,14,10,5,2,13,58,4,8,10,24,12,9,36,10,3,7,2,56,14,7,24,81,31,66,35,26,7,51,30,22,13,47,10,9,9,43,22,5,19,14,16,10,31,31,15,27,16,19,9,18,28,15,9,23,20,12,5,14,41,38,27,17,15,10,11,12,29,17,19,12,10,20,11,16,16,29,36,56,36,23,16,24,20,37,41,28,57,51,65,45,41,106,41,115,30,37,82,15,51,129,19,36,30,23,66,38,56,28,61,51,35,41,68,76,51,47,33,84,57,44,59,36,32,63,77,83,84,75,86,84,128,104,68,77,84
16,6,11,9,12,14,13,16,0,1,27,12,36,18,22,29,0,28,48,34,45,28,23,12,39,4,0,17,2,32,16,13,32,7,48,6,114,5,9,23,25,10,12,7,28,2,9,13,59,9,14,10,14,6,6,12,28,10,12,21,148,36,23,19,15,156,32,28,33,49,68,50,74,29,57,54,49,55,42,41,36,39,41,52,63,46,48,70,52,46,42,49,44,41,52,45,10,64,47,49,50,26,53,51,26,46,60,101,83,50,62,60,50,39,54,24,56,35,24,25,36,9,24,52,65,53,37,24,22,22,17,14,26,20,18,23,30,16,13,13,24,10,9,10,30,16,26,21,4,23,21,23,36,45,30,26,17,16,14,28,16,7,9,11,22,26,25,30,20,29,24,35,44,39,28,30,28,15,31,21,44,45,30,15,20,19,42,18,18,19,21,17,16,24,13,3,22,14,15,10,14,13,17,9,18,46,37,43,57,46,36,64,64,61,63,43,45,56,52,51,61,61,241,74,62,81,69,72,68,44,67,76,75,59,59,87,121,77,92,248,68,82,70,93,61,63,64,64,53,84,56,67,58,58,65,61,82,83,92,69,99,79,108,76,76
17,18,15,15,13,14,18,10,1,2,31,10,36,13,16,18,2,17,25,18,25,8,12,6,35,4,5,15,6,18,8,14,42,12,16,12,64,2,4,11,13,13,7,6,34,4,11,8,39,7,9,21,9,5,3,5,20,7,6,8,78,27,14,9,9,74,16,14,17,16,16,17,49,20,18,31,11,20,7,17,21,13,18,20,11,25,20,18,21,17,8,19,34,19,13,15,5,11,17,24,13,16,13,10,13,12,7,12,14,19,15,19,8,11,6,13,18,10,7,16,12,5,11,18,11,9,12,6,41,17,51,21,19,20,18,11,11,11,9,10,6,13,11,9,10,11,6,6,6,17,24,15,28,92,14,9,13,10,11,21,15,16,11,13,15,21,38,18,24,19,26,21,20,31,17,19,19,12,19,23,28,23,22,20,26,20,12,22,38,27,39,19,33,19,14,13,42,28,34,19,26,22,16,54,49,39,98,71,76,61,85,99,120,72,51,75,79,101,100,120,56,96,75,115,55,71,93,62,55,55,41,119,65,81,98,70,83,71,72,134,117,78,65,109,91,60,111,55,115,112,72,183,91,89,134,91,86,96,175,100,101,100,89,135,81
